"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-08","14.32",,"0.12","0.0","0.0","39","48","32","  310","  310","25.1","32.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-09","7.83",,"0.00","0.0","0.0","34","41","24","  270","  270","17.0","21.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-10","9.62",,"0.00","0.0","0.0","41","56","30","  260","  230","31.1","40.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-11","12.30",,"0.00","0.0","0.0","44","52","34","  170","  190","23.9","30.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-12","13.65",,"0.00","0.0","0.0","49","61","39","  270","  270","25.9","33.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-13","10.51",,"0.25","2.8","1.2","37","43","25","  340","  330","23.0","33.1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-14","18.57",,"0.00","0.0","3.1","23","25","17","  330","  310","29.1","34.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-15","12.08",,"0.00","0.0","2.0","22","30","17","  320","  310","21.0","25.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-16","11.41",,"0.00","0.0","0.0","33","43","22","  190","  160","18.1","23.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-17","19.91",,"0.23","0.0","0.0","46","54","41","  180","  180","32.0","38.9","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-02-18","23.71",,"0.39","0.0","0.0","47","58","27","  190","  190","40.9","51.0","    1","    1",,,
